                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.45774,                0.50481,                0.99601,                0.91186,                0.91607,                0.95047,                0.88756,                0.37098,                0.45587,                 0.8274,             0.00051177,             0.00051177,             0.00051177
                     37,                0.46126,                0.48075,                0.99352,                0.91125,                0.91406,                0.95096,                0.89203,                0.37415,                0.45204,                0.83425,             0.00047876,             0.00047876,             0.00047876
                     38,                0.45794,                0.47439,                0.99652,                0.91413,                0.91339,                0.95822,                0.89607,                0.37252,                0.41895,                0.83572,             0.00044576,             0.00044576,             0.00044576
                     39,                0.46494,                0.47687,                 1.0076,                0.90741,                0.92578,                0.95609,                0.90659,                0.32663,                0.42476,                0.80438,             0.00041275,             0.00041275,             0.00041275
                     40,                0.43436,                0.45018,                0.97953,                0.91447,                0.91422,                0.96372,                0.90983,                0.34235,                0.40119,                0.81419,             0.00037974,             0.00037974,             0.00037974
                     41,                0.35126,                0.37568,                0.95252,                0.89804,                0.91944,                0.96208,                 0.9056,                0.33574,                0.41934,                0.80257,             0.00034674,             0.00034674,             0.00034674
                     42,                0.35336,                0.36153,                0.95817,                0.88563,                0.92899,                 0.9559,                 0.9077,                0.32019,                0.40927,                0.79681,             0.00031373,             0.00031373,             0.00031373
                     43,                0.32557,                0.31967,                0.93394,                0.90134,                0.91406,                0.94927,                0.89942,                0.31878,                0.42709,                0.80305,             0.00028072,             0.00028072,             0.00028072
                     44,                0.31875,                0.30399,                0.93341,                0.88782,                0.93753,                0.95784,                0.90495,                 0.3233,                  0.408,                0.79199,             0.00024772,             0.00024772,             0.00024772
                     45,                 0.3268,                 0.3109,                0.93164,                0.89508,                0.92441,                0.95653,                0.90654,                0.32776,                0.41936,                0.79666,             0.00021471,             0.00021471,             0.00021471
                     46,                0.29799,                0.28799,                0.92762,                0.91228,                0.92969,                0.96818,                0.92127,                0.31332,                0.36065,                 0.7945,              0.0001817,              0.0001817,              0.0001817
                     47,                0.30525,                0.28311,                 0.9292,                0.90278,                0.92643,                0.96247,                0.91651,                 0.3142,                0.38787,                0.79371,              0.0001487,              0.0001487,              0.0001487
                     48,                 0.2941,                 0.2782,                0.91367,                0.90201,                0.92168,                0.95548,                0.91125,                0.31098,                0.40463,                0.80154,             0.00011569,             0.00011569,             0.00011569
                     49,                0.28415,                0.26827,                0.92161,                0.89722,                0.93167,                0.96479,                0.91733,                 0.3107,                0.38366,                0.79942,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.27602,                0.25253,                0.90948,                0.90226,                0.93316,                0.96326,                0.91715,                0.30221,                0.38334,                0.78675,             4.9677e-05,             4.9677e-05,             4.9677e-05
